Timestamp,DeviceID,HeartRate_BPM,SpO2_Percent,Temperature_C,Status,AlertTriggered
2026-08-19T10:00:00Z,ESP32-HEALTH-001,72,98,36.5,NORMAL,NONE
2026-08-19T09:00:00Z,ESP32-HEALTH-001,75,98,36.6,NORMAL,NONE
2026-08-19T08:00:00Z,ESP32-HEALTH-001,68,99,36.4,NORMAL,NONE
2026-08-19T07:00:00Z,ESP32-HEALTH-001,88,97,36.7,NORMAL,NONE
2026-08-19T06:00:00Z,ESP32-HEALTH-001,105,94,37.2,ATTENTION,SPO2_MIN_ALERT
2026-08-19T05:00:00Z,ESP32-HEALTH-001,62,99,36.3,NORMAL,NONE
2026-08-19T04:00:00Z,ESP32-HEALTH-001,58,98,36.2,NORMAL,NONE
2026-08-19T03:00:00Z,ESP32-HEALTH-001,60,98,36.3,NORMAL,NONE
2026-08-19T02:00:00Z,ESP32-HEALTH-001,64,99,36.4,NORMAL,NONE
2026-08-19T01:00:00Z,ESP32-HEALTH-001,66,98,36.5,NORMAL,NONE
2026-08-19T00:00:00Z,ESP32-HEALTH-001,70,98,36.6,NORMAL,NONE
2026-08-18T23:00:00Z,ESP32-HEALTH-001,78,97,36.7,NORMAL,NONE
2026-08-18T22:00:00Z,ESP32-HEALTH-001,82,98,36.8,NORMAL,NONE
2026-08-18T21:00:00Z,ESP32-HEALTH-001,92,96,36.9,NORMAL,NONE
2026-08-18T20:00:00Z,ESP32-HEALTH-001,112,95,37.6,ATTENTION,HEART_RATE_MAX_ALERT
2026-08-18T19:00:00Z,ESP32-HEALTH-001,84,98,36.7,NORMAL,NONE
2026-08-18T18:00:00Z,ESP32-HEALTH-001,76,98,36.6,NORMAL,NONE
2026-08-18T17:00:00Z,ESP32-HEALTH-001,73,99,36.5,NORMAL,NONE
2026-08-18T16:00:00Z,ESP32-HEALTH-001,71,98,36.4,NORMAL,NONE
2026-08-18T15:00:00Z,ESP32-HEALTH-001,74,98,36.5,NORMAL,NONE
2026-08-18T14:00:00Z,ESP32-HEALTH-001,25,82,36.5,CHECK READING,SENSOR_UNATTACHED
2026-08-18T13:00:00Z,ESP32-HEALTH-001,75,98,36.6,NORMAL,NONE
2026-08-18T12:00:00Z,ESP32-HEALTH-001,79,97,36.7,NORMAL,NONE
2026-08-18T11:00:00Z,ESP32-HEALTH-001,72,98,36.5,NORMAL,NONE
2026-08-18T10:00:00Z,ESP32-HEALTH-001,70,99,36.4,NORMAL,NONE
